method,model,parameters,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,ave
dense embed,minishlab/potion-base-8M,500/100,1,0,0,3,1,0,0,1,0,0,0,0.5454545455
dense embed,BAAI/bge-base-en-v1.5,500/100,0,0,1,3,1,0,0,0,2,1,0,0.7272727273
dense embed,minishlab/potion-base-8M,800/100,1,0,1,1,1,1,1,1,0,0,0,0.6363636364
dense embed,BAAI/bge-base-en-v1.5,800/100,0,1,1,3,1,1,0,1,1,1,0,0.9090909091
colbert,colbertv2.0,512,2,4,0,5,3,3,3,1,1,1,2,2.272727273
hybrid,colbertv2.0+BM25+BAAI/bge-reranker-base,0.7/0.3,3,1,2,5,3,3,1,1,1,1,4,2.272727273
